Name;Description;Ingredients;Preparation;Calories_kcal
Auflauf - Süßkartoffel-Feta-Auflauf;Ofenauflauf mit Süßkartoffel, Spinat und Feta.;Batate/Süßkartoffel, roh:280|Spinat roh:130|Feta mind. 45 % Fett i. Tr.:70|Joghurt mild, mind. 3,5 % Fett:100|Speisezwiebel roh:40|Olivenöl:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 190 °C vorheizen.<br>Sättigungsbeilage vorgaren und Gemüse vorbereiten.<br>Alles mit Sauce oder Milchprodukt in eine Form geben.<br>Mit Käse bestreuen und 25 bis 35 Minuten backen.<br>Vor dem Servieren kurz ruhen lassen.<br>Kalorien: ca. 710 kcal.;710
Auflauf - Reis-Gemüse-Auflauf;Vegetarischer Reisauflauf mit Paprika, Mais und Käse.;Reis parboiled, poliert, roh:80|Gemüsepaprika rot, roh:90|Zucchini roh:100|Zuckermais Konserve, abgetropft:80|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:120|Emmentaler mind. 45 % Fett i. Tr.:55|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 190 °C vorheizen.<br>Sättigungsbeilage vorgaren und Gemüse vorbereiten.<br>Alles mit Sauce oder Milchprodukt in eine Form geben.<br>Mit Käse bestreuen und 25 bis 35 Minuten backen.<br>Vor dem Servieren kurz ruhen lassen.<br>Kalorien: ca. 650 kcal.;650
Auflauf - Lachs-Spinat-Kartoffel-Auflauf;Sättigender Auflauf mit Lachs, Spinat und Kartoffeln.;Kartoffel geschält, roh:250|Lachs roh:140|Spinat roh:130|Schlagsahne mind. 30 % Fett:50|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:120|Mozzarella mind. 45 % Fett i. Tr.:50|Zitronensaft:10|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 190 °C vorheizen.<br>Sättigungsbeilage vorgaren und Gemüse vorbereiten.<br>Alles mit Sauce oder Milchprodukt in eine Form geben.<br>Mit Käse bestreuen und 25 bis 35 Minuten backen.<br>Vor dem Servieren kurz ruhen lassen.<br>Kalorien: ca. 830 kcal.;830
Auflauf - Vegane Tofu-Gemüse-Lasagne-Art;Pflanzlicher Auflauf mit Tofu, Gemüse und Tomatensauce.;Vollkornteigwaren eifrei, roh:85|Tofu:140|Tomaten passiert/Tomatenpüree:240|Zucchini roh:100|Aubergine roh:100|Käsealternative Mozzarella-Art, vegan:60|Speisezwiebel roh:50|Knoblauch roh:5|Olivenöl:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 190 °C vorheizen.<br>Sättigungsbeilage vorgaren und Gemüse vorbereiten.<br>Alles mit Sauce oder Milchprodukt in eine Form geben.<br>Mit Käse bestreuen und 25 bis 35 Minuten backen.<br>Vor dem Servieren kurz ruhen lassen.<br>Kalorien: ca. 780 kcal.;780
Omelett - Champignon-Käse-Omelett;Schnelles Omelett mit Champignons und Gouda.;Hühnerei roh:150|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:40|Champignon roh:120|Gouda 48 % Fett i. Tr.:35|Speisezwiebel roh:30|Rapsöl/Rüböl:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Eier mit Milch oder Joghurt verquirlen und würzen.<br>Gemüse klein schneiden und in Öl kurz anbraten.<br>Eimasse darübergeben und bei mittlerer Hitze stocken lassen.<br>Nach Wunsch Käse oder Kräuter zugeben.<br>Omelett zusammenklappen und servieren.<br>Kalorien: ca. 470 kcal.;470
Omelett - Spinat-Feta-Omelett;Proteinreiches Omelett mit Spinat und Feta.;Hühnerei roh:150|Spinat roh:100|Feta mind. 45 % Fett i. Tr.:45|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:40|Rapsöl/Rüböl:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Eier mit Milch oder Joghurt verquirlen und würzen.<br>Gemüse klein schneiden und in Öl kurz anbraten.<br>Eimasse darübergeben und bei mittlerer Hitze stocken lassen.<br>Nach Wunsch Käse oder Kräuter zugeben.<br>Omelett zusammenklappen und servieren.<br>Kalorien: ca. 440 kcal.;440
Omelett - Tomate-Mozzarella-Omelett;Omelett mit Tomate, Mozzarella und Basilikum.;Hühnerei roh:150|Tomate roh:110|Mozzarella mind. 45 % Fett i. Tr.:50|Basilikum roh:8|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:35|Rapsöl/Rüböl:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Eier mit Milch oder Joghurt verquirlen und würzen.<br>Gemüse klein schneiden und in Öl kurz anbraten.<br>Eimasse darübergeben und bei mittlerer Hitze stocken lassen.<br>Nach Wunsch Käse oder Kräuter zugeben.<br>Omelett zusammenklappen und servieren.<br>Kalorien: ca. 450 kcal.;450
Omelett - Paprika-Schinken-Omelett;Herzhaftes Omelett mit Paprika und Schinken.;Hühnerei roh:150|Gemüsepaprika rot, roh:100|Schwein Rohschinken, mager, Rohpökelware, geräuchert:45|Gouda 48 % Fett i. Tr.:30|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:35|Rapsöl/Rüböl:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Eier mit Milch oder Joghurt verquirlen und würzen.<br>Gemüse klein schneiden und in Öl kurz anbraten.<br>Eimasse darübergeben und bei mittlerer Hitze stocken lassen.<br>Nach Wunsch Käse oder Kräuter zugeben.<br>Omelett zusammenklappen und servieren.<br>Kalorien: ca. 500 kcal.;500
Omelett - Zucchini-Parmesan-Omelett;Feines Omelett mit Zucchini und Parmesan.;Hühnerei roh:150|Zucchini roh:130|Parmesan mind. 30 % Fett i. Tr.:25|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:35|Rapsöl/Rüböl:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Eier mit Milch oder Joghurt verquirlen und würzen.<br>Gemüse klein schneiden und in Öl kurz anbraten.<br>Eimasse darübergeben und bei mittlerer Hitze stocken lassen.<br>Nach Wunsch Käse oder Kräuter zugeben.<br>Omelett zusammenklappen und servieren.<br>Kalorien: ca. 420 kcal.;420
Omelett - Lachs-Rucola-Omelett;Omelett mit Räucherlachs, Rucola und Frischkäse.;Hühnerei roh:150|Lachs geräuchert (Räucherlachs):60|Rucola roh:35|Frischkäsezubereitung Natur, mind. 60 % Fett i. Tr.:35|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:30|Rapsöl/Rüböl:8|Zitronensaft:8|Pfeffer schwarz, getrocknet:1;Eier mit Milch oder Joghurt verquirlen und würzen.<br>Gemüse klein schneiden und in Öl kurz anbraten.<br>Eimasse darübergeben und bei mittlerer Hitze stocken lassen.<br>Nach Wunsch Käse oder Kräuter zugeben.<br>Omelett zusammenklappen und servieren.<br>Kalorien: ca. 490 kcal.;490
Wrap - Hähnchen-Avocado-Wrap;Sättigender Wrap mit Hähnchen, Avocado und Salat.;Weizentortilla:90|Hähnchen Brust, ohne Haut, roh:120|Avocado roh:60|Eisbergsalat roh:50|Tomate roh:80|Joghurt mild, mind. 3,5 % Fett:50|Zitronensaft:8|Rapsöl/Rüböl:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Tortilla kurz erwärmen.<br>Gemüse waschen und in Streifen schneiden.<br>Protein braten oder abtropfen lassen.<br>Wrap mit Sauce bestreichen, füllen und eng einrollen.<br>Optional kurz in der Pfanne anrösten.<br>Kalorien: ca. 610 kcal.;610
Wrap - Thunfisch-Gurken-Wrap;Frischer Wrap mit Thunfisch, Gurke und Joghurtcreme.;Weizentortilla:90|Thunfisch im eigenen Saft, Konserve, abgetropft:110|Gurke roh:100|Eisbergsalat roh:50|Joghurt mild, mind. 3,5 % Fett:60|Tomatenmark:10|Zitronensaft:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Tortilla kurz erwärmen.<br>Gemüse waschen und in Streifen schneiden.<br>Protein braten oder abtropfen lassen.<br>Wrap mit Sauce bestreichen, füllen und eng einrollen.<br>Optional kurz in der Pfanne anrösten.<br>Kalorien: ca. 450 kcal.;450
Wrap - Falafel-Art Kichererbsen-Wrap;Pflanzlicher Wrap mit Kichererbsen, Salat und Tahin.;Weizentortilla:90|Kichererbse reif, Konserve, abgetropft:150|Eisbergsalat roh:50|Tomate roh:80|Gurke roh:80|Tahin (Sesammus):22|Zitronensaft:10|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Tortilla kurz erwärmen.<br>Gemüse waschen und in Streifen schneiden.<br>Protein braten oder abtropfen lassen.<br>Wrap mit Sauce bestreichen, füllen und eng einrollen.<br>Optional kurz in der Pfanne anrösten.<br>Kalorien: ca. 650 kcal.;650
Wrap - Feta-Gemüse-Wrap;Vegetarischer Wrap mit Feta und knackigem Gemüse.;Weizentortilla:90|Feta mind. 45 % Fett i. Tr.:70|Gemüsepaprika gelb, roh:80|Gurke roh:80|Tomate roh:80|Rucola roh:35|Joghurt mild, mind. 3,5 % Fett:40|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Tortilla kurz erwärmen.<br>Gemüse waschen und in Streifen schneiden.<br>Protein braten oder abtropfen lassen.<br>Wrap mit Sauce bestreichen, füllen und eng einrollen.<br>Optional kurz in der Pfanne anrösten.<br>Kalorien: ca. 560 kcal.;560
Wrap - Rindhack-Bohnen-Wrap;Kräftiger Wrap mit Rindhack, Kidneybohnen und Mais.;Weizentortilla:90|Rind Hackfleisch, roh:120|Kidneybohne reif, Konserve, abgetropft:100|Zuckermais Konserve, abgetropft:70|Tomaten passiert/Tomatenpüree:80|Speisezwiebel roh:40|Rapsöl/Rüböl:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Tortilla kurz erwärmen.<br>Gemüse waschen und in Streifen schneiden.<br>Protein braten oder abtropfen lassen.<br>Wrap mit Sauce bestreichen, füllen und eng einrollen.<br>Optional kurz in der Pfanne anrösten.<br>Kalorien: ca. 830 kcal.;830
Wrap - Tofu-Soja-Wrap;Veganer Wrap mit Tofu, Gemüse und Sojasauce.;Weizentortilla:90|Tofu:140|Gemüsepaprika rot, roh:80|Gurke roh:80|Eisbergsalat roh:50|Sojasauce/Sojasoße:15|Rapsöl/Rüböl:8|Limette roh:25|Pfeffer schwarz, getrocknet:1;Tortilla kurz erwärmen.<br>Gemüse waschen und in Streifen schneiden.<br>Protein braten oder abtropfen lassen.<br>Wrap mit Sauce bestreichen, füllen und eng einrollen.<br>Optional kurz in der Pfanne anrösten.<br>Kalorien: ca. 570 kcal.;570
Pfannengericht - Hähnchen-Reis-Pfanne;Schnelle Reis-Pfanne mit Hähnchen und Gemüse.;Reis parboiled, poliert, roh:85|Hähnchen Brust, ohne Haut, roh:140|Zucchini roh:100|Gemüsepaprika rot, roh:80|Erbse grün, tiefgefroren:70|Sojasauce/Sojasoße:15|Rapsöl/Rüböl:10|Knoblauch roh:5|Pfeffer schwarz, getrocknet:1;Alle Zutaten vorbereiten und klein schneiden.<br>Öl in einer großen Pfanne erhitzen.<br>Protein zuerst anbraten, dann Gemüse zugeben.<br>Beilage oder Sauce einrühren und alles fertig garen.<br>Mit Salz, Pfeffer und Kräutern abschmecken.<br>Kalorien: ca. 650 kcal.;650
Pfannengericht - Kartoffel-Gemüse-Pfanne;Rustikale Kartoffelpfanne mit Ei und Gemüse.;Kartoffel geschält, roh:280|Hühnerei roh:100|Zucchini roh:100|Champignon roh:100|Speisezwiebel roh:50|Rapsöl/Rüböl:12|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Alle Zutaten vorbereiten und klein schneiden.<br>Öl in einer großen Pfanne erhitzen.<br>Protein zuerst anbraten, dann Gemüse zugeben.<br>Beilage oder Sauce einrühren und alles fertig garen.<br>Mit Salz, Pfeffer und Kräutern abschmecken.<br>Kalorien: ca. 550 kcal.;550
Pfannengericht - Tofu-Broccoli-Pfanne;Vegane Pfanne mit Tofu, Broccoli und Sojasauce.;Tofu:160|Broccoli roh:180|Reisnudeln roh:80|Sojasauce/Sojasoße:18|Ingwer/Ingwerwurzel, roh:8|Knoblauch roh:5|Rapsöl/Rüböl:10|Sesam:8;Alle Zutaten vorbereiten und klein schneiden.<br>Öl in einer großen Pfanne erhitzen.<br>Protein zuerst anbraten, dann Gemüse zugeben.<br>Beilage oder Sauce einrühren und alles fertig garen.<br>Mit Salz, Pfeffer und Kräutern abschmecken.<br>Kalorien: ca. 690 kcal.;690
Pfannengericht - Garnelen-Zucchini-Pfanne;Leichte Pfanne mit Garnelen, Zucchini und Couscous.;Couscous (Hartweizen) roh:80|Garnele/Granat/Krabbe, roh:150|Zucchini roh:150|Tomate roh:100|Knoblauch roh:5|Olivenöl:10|Zitronensaft:10|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Alle Zutaten vorbereiten und klein schneiden.<br>Öl in einer großen Pfanne erhitzen.<br>Protein zuerst anbraten, dann Gemüse zugeben.<br>Beilage oder Sauce einrühren und alles fertig garen.<br>Mit Salz, Pfeffer und Kräutern abschmecken.<br>Kalorien: ca. 570 kcal.;570
Pfannengericht - Rindhack-Gemüse-Pfanne;Deftige Pfanne mit Rindhack, Paprika und Kidneybohnen.;Rind Hackfleisch, roh:150|Kidneybohne reif, Konserve, abgetropft:110|Gemüsepaprika gelb, roh:90|Tomaten passiert/Tomatenpüree:120|Speisezwiebel roh:50|Knoblauch roh:5|Rapsöl/Rüböl:10|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Alle Zutaten vorbereiten und klein schneiden.<br>Öl in einer großen Pfanne erhitzen.<br>Protein zuerst anbraten, dann Gemüse zugeben.<br>Beilage oder Sauce einrühren und alles fertig garen.<br>Mit Salz, Pfeffer und Kräutern abschmecken.<br>Kalorien: ca. 650 kcal.;650
Pfannengericht - Lachs-Spinat-Pfanne;Cremige Pfanne mit Lachs, Spinat und Kartoffeln.;Lachs roh:140|Kartoffel geschält, roh:220|Spinat roh:120|Joghurt mild, mind. 3,5 % Fett:80|Speisezwiebel roh:40|Rapsöl/Rüböl:10|Zitronensaft:10|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Alle Zutaten vorbereiten und klein schneiden.<br>Öl in einer großen Pfanne erhitzen.<br>Protein zuerst anbraten, dann Gemüse zugeben.<br>Beilage oder Sauce einrühren und alles fertig garen.<br>Mit Salz, Pfeffer und Kräutern abschmecken.<br>Kalorien: ca. 620 kcal.;620
Ofengericht - Hähnchen-Gemüse-Blech;Einfaches Blechgericht mit Hähnchen, Kartoffeln und Gemüse.;Hähnchen Brust, ohne Haut, roh:150|Kartoffel geschält, roh:260|Karotte/Möhre, roh:100|Zucchini roh:100|Gemüsepaprika rot, roh:80|Olivenöl:12|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 200 °C vorheizen.<br>Gemüse und Sättigungsbeilage schneiden und mit Öl würzen.<br>Protein dazugeben und alles auf einem Blech verteilen.<br>25 bis 40 Minuten backen, zwischendurch wenden.<br>Mit Zitronensaft oder Sauce servieren.<br>Kalorien: ca. 580 kcal.;580
Ofengericht - Lachs mit Broccoli und Süßkartoffel;Ofenlachs mit Gemüse und Süßkartoffel.;Lachs roh:150|Batate/Süßkartoffel, roh:240|Broccoli roh:160|Olivenöl:12|Zitronensaft:12|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 200 °C vorheizen.<br>Gemüse und Sättigungsbeilage schneiden und mit Öl würzen.<br>Protein dazugeben und alles auf einem Blech verteilen.<br>25 bis 40 Minuten backen, zwischendurch wenden.<br>Mit Zitronensaft oder Sauce servieren.<br>Kalorien: ca. 730 kcal.;730
Ofengericht - Kabeljau in Tomaten-Gemüse;Leichtes Fischgericht aus dem Ofen mit Tomaten und Zucchini.;Dorsch/Kabeljau, roh:170|Tomaten passiert/Tomatenpüree:180|Zucchini roh:120|Tomate roh:100|Speisezwiebel roh:50|Knoblauch roh:5|Olivenöl:10|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 200 °C vorheizen.<br>Gemüse und Sättigungsbeilage schneiden und mit Öl würzen.<br>Protein dazugeben und alles auf einem Blech verteilen.<br>25 bis 40 Minuten backen, zwischendurch wenden.<br>Mit Zitronensaft oder Sauce servieren.<br>Kalorien: ca. 350 kcal.;350
Ofengericht - Gefüllte Paprika mit Bulgur;Paprika aus dem Ofen mit Bulgur, Feta und Tomatensauce.;Gemüsepaprika rot, roh:220|Bulgur (Hartweizen) roh:75|Feta mind. 45 % Fett i. Tr.:60|Tomaten passiert/Tomatenpüree:160|Speisezwiebel roh:50|Olivenöl:10|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 200 °C vorheizen.<br>Gemüse und Sättigungsbeilage schneiden und mit Öl würzen.<br>Protein dazugeben und alles auf einem Blech verteilen.<br>25 bis 40 Minuten backen, zwischendurch wenden.<br>Mit Zitronensaft oder Sauce servieren.<br>Kalorien: ca. 670 kcal.;670
Ofengericht - Veganes Tofu-Gemüse-Blech;Veganes Blechgericht mit Tofu, Broccoli und Kichererbsen.;Tofu:160|Kichererbse reif, Konserve, abgetropft:120|Broccoli roh:150|Karotte/Möhre, roh:100|Zucchini roh:100|Rapsöl/Rüböl:12|Sojasauce/Sojasoße:15|Pfeffer schwarz, getrocknet:1;Backofen auf 200 °C vorheizen.<br>Gemüse und Sättigungsbeilage schneiden und mit Öl würzen.<br>Protein dazugeben und alles auf einem Blech verteilen.<br>25 bis 40 Minuten backen, zwischendurch wenden.<br>Mit Zitronensaft oder Sauce servieren.<br>Kalorien: ca. 580 kcal.;580
Ofengericht - Camembert-Kartoffel-Gemüse;Vegetarisches Ofengericht mit Kartoffeln, Gemüse und Camembert.;Kartoffel geschält, roh:260|Camembert mind. 45 % Fett i. Tr.:80|Champignon roh:120|Tomate roh:100|Speisezwiebel roh:50|Olivenöl:10|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 200 °C vorheizen.<br>Gemüse und Sättigungsbeilage schneiden und mit Öl würzen.<br>Protein dazugeben und alles auf einem Blech verteilen.<br>25 bis 40 Minuten backen, zwischendurch wenden.<br>Mit Zitronensaft oder Sauce servieren.<br>Kalorien: ca. 590 kcal.;590
Kuchen - Apfel-Hafer-Kuchen;Saftiger Kuchen mit Apfel, Haferflocken und Joghurt.;Weizen Mehl, Type 405:120|Hafer Flocken:60|Apfel roh:180|Hühnerei roh:100|Joghurt mild, mind. 3,5 % Fett:120|Zucker weiß (Raffinadezucker/Weißzucker):60|Butter mild gesäuert:50|Backpulver:5;Backofen auf 180 °C vorheizen.<br>Trockene Zutaten mischen und feuchte Zutaten einrühren.<br>Obst oder Nüsse unterheben.<br>Teig in eine Form füllen und 30 bis 45 Minuten backen.<br>Abkühlen lassen und portionieren.<br>Kalorien: ca. 1560 kcal.;1560
Kuchen - Bananen-Schoko-Kuchen;Einfacher Bananenkuchen mit Kakao.;Weizen Mehl, Type 405:140|Banane roh:200|Hühnerei roh:100|Kakaopulver schwach entölt:20|Zucker weiß (Raffinadezucker/Weißzucker):55|Butter mild gesäuert:55|Backpulver:5|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:80;Backofen auf 180 °C vorheizen.<br>Trockene Zutaten mischen und feuchte Zutaten einrühren.<br>Obst oder Nüsse unterheben.<br>Teig in eine Form füllen und 30 bis 45 Minuten backen.<br>Abkühlen lassen und portionieren.<br>Kalorien: ca. 1520 kcal.;1520
Kuchen - Karotten-Walnuss-Kuchen;Saftiger Karottenkuchen mit Walnüssen.;Weizen Mehl, Type 405:130|Karotte/Möhre, roh:180|Walnuss:45|Hühnerei roh:100|Zucker braun (Kandisfarin/Rohzucker):60|Sonnenblumenöl:50|Backpulver:5|Joghurt mild, mind. 3,5 % Fett:80;Backofen auf 180 °C vorheizen.<br>Trockene Zutaten mischen und feuchte Zutaten einrühren.<br>Obst oder Nüsse unterheben.<br>Teig in eine Form füllen und 30 bis 45 Minuten backen.<br>Abkühlen lassen und portionieren.<br>Kalorien: ca. 1720 kcal.;1720
Kuchen - Beeren-Quark-Kuchen;Fruchtiger Kuchen mit Quark und Beeren.;Weizen Mehl, Type 405:120|Speisequark Magerstufe, Magerquark < 10 % Fett i. Tr.:180|Hühnerei roh:100|Himbeere roh:120|Heidelbeere roh:100|Zucker weiß (Raffinadezucker/Weißzucker):60|Butter mild gesäuert:45|Backpulver:5;Backofen auf 180 °C vorheizen.<br>Trockene Zutaten mischen und feuchte Zutaten einrühren.<br>Obst oder Nüsse unterheben.<br>Teig in eine Form füllen und 30 bis 45 Minuten backen.<br>Abkühlen lassen und portionieren.<br>Kalorien: ca. 1360 kcal.;1360
Kuchen - Zitronen-Mandel-Kuchen;Heller Rührkuchen mit Mandel und Zitrone.;Weizen Mehl, Type 405:130|Mandel süß:50|Hühnerei roh:100|Zucker weiß (Raffinadezucker/Weißzucker):65|Butter mild gesäuert:55|Zitronensaft:18|Backpulver:5|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:80;Backofen auf 180 °C vorheizen.<br>Trockene Zutaten mischen und feuchte Zutaten einrühren.<br>Obst oder Nüsse unterheben.<br>Teig in eine Form füllen und 30 bis 45 Minuten backen.<br>Abkühlen lassen und portionieren.<br>Kalorien: ca. 1580 kcal.;1580
Kuchen - Kokos-Ananas-Kuchen;Tropischer Kuchen mit Kokos und Ananas.;Weizen Mehl, Type 405:130|Kokos Fruchtfleisch, geraspelt, getrocknet:45|Ananas gezuckert, Konserve, abgetropft:160|Hühnerei roh:100|Zucker weiß (Raffinadezucker/Weißzucker):55|Butter mild gesäuert:50|Backpulver:5|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:80;Backofen auf 180 °C vorheizen.<br>Trockene Zutaten mischen und feuchte Zutaten einrühren.<br>Obst oder Nüsse unterheben.<br>Teig in eine Form füllen und 30 bis 45 Minuten backen.<br>Abkühlen lassen und portionieren.<br>Kalorien: ca. 1620 kcal.;1620
Kekse - Hafer-Bananen-Kekse;Weiche Haferkekse mit Banane und wenig Zucker.;Hafer Flocken:120|Banane roh:160|Weizen Mehl, Type 405:60|Butter mild gesäuert:35|Zucker braun (Kandisfarin/Rohzucker):35|Backpulver:4;Backofen auf 175 °C vorheizen.<br>Zutaten zu einem formbaren Teig verkneten.<br>Kleine Portionen abnehmen und auf ein Backblech setzen.<br>10 bis 14 Minuten backen, bis die Ränder leicht fest sind.<br>Auf dem Blech auskühlen lassen.<br>Kalorien: ca. 1150 kcal.;1150
Kekse - Schoko-Hafer-Kekse;Knusprige Kekse mit Haferflocken und Kakao.;Hafer Flocken:110|Weizen Mehl, Type 405:80|Kakaopulver schwach entölt:18|Hühnerei roh:50|Butter mild gesäuert:55|Zucker weiß (Raffinadezucker/Weißzucker):55|Backpulver:4;Backofen auf 175 °C vorheizen.<br>Zutaten zu einem formbaren Teig verkneten.<br>Kleine Portionen abnehmen und auf ein Backblech setzen.<br>10 bis 14 Minuten backen, bis die Ränder leicht fest sind.<br>Auf dem Blech auskühlen lassen.<br>Kalorien: ca. 1430 kcal.;1430
Kekse - Mandel-Zitronen-Kekse;Feine Kekse mit Mandel und Zitronensaft.;Weizen Mehl, Type 405:120|Mandel süß:60|Hühnerei roh:50|Butter mild gesäuert:55|Zucker weiß (Raffinadezucker/Weißzucker):55|Zitronensaft:12|Backpulver:4;Backofen auf 175 °C vorheizen.<br>Zutaten zu einem formbaren Teig verkneten.<br>Kleine Portionen abnehmen und auf ein Backblech setzen.<br>10 bis 14 Minuten backen, bis die Ränder leicht fest sind.<br>Auf dem Blech auskühlen lassen.<br>Kalorien: ca. 1450 kcal.;1450
Kekse - Erdnuss-Kekse;Schnelle Kekse mit Erdnussbutter.;Weizen Mehl, Type 405:110|Erdnussbutter/Erdnusscreme:70|Hühnerei roh:50|Zucker braun (Kandisfarin/Rohzucker):55|Butter mild gesäuert:35|Backpulver:4;Backofen auf 175 °C vorheizen.<br>Zutaten zu einem formbaren Teig verkneten.<br>Kleine Portionen abnehmen und auf ein Backblech setzen.<br>10 bis 14 Minuten backen, bis die Ränder leicht fest sind.<br>Auf dem Blech auskühlen lassen.<br>Kalorien: ca. 1350 kcal.;1350
Kekse - Kokos-Kekse;Einfache Kokoskekse mit geraspelter Kokosnuss.;Weizen Mehl, Type 405:100|Kokos Fruchtfleisch, geraspelt, getrocknet:70|Hühnerei roh:50|Zucker weiß (Raffinadezucker/Weißzucker):55|Butter mild gesäuert:45|Backpulver:4;Backofen auf 175 °C vorheizen.<br>Zutaten zu einem formbaren Teig verkneten.<br>Kleine Portionen abnehmen und auf ein Backblech setzen.<br>10 bis 14 Minuten backen, bis die Ränder leicht fest sind.<br>Auf dem Blech auskühlen lassen.<br>Kalorien: ca. 1450 kcal.;1450
Kekse - Rosinen-Hafer-Kekse;Haferkekse mit Rosinen und Nüssen.;Hafer Flocken:120|Rosine/Sultanine (Weinbeere getrocknet):50|Walnuss:35|Weizen Mehl, Type 405:70|Hühnerei roh:50|Butter mild gesäuert:45|Zucker braun (Kandisfarin/Rohzucker):45|Backpulver:4;Backofen auf 175 °C vorheizen.<br>Zutaten zu einem formbaren Teig verkneten.<br>Kleine Portionen abnehmen und auf ein Backblech setzen.<br>10 bis 14 Minuten backen, bis die Ränder leicht fest sind.<br>Auf dem Blech auskühlen lassen.<br>Kalorien: ca. 1640 kcal.;1640
Smoothie - Banane-Erdbeer-Smoothie;Cremiger Smoothie mit Banane, Erdbeeren und Joghurt.;Banane roh:140|Erdbeere roh:160|Joghurt mild, mind. 3,5 % Fett:180|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:120|Blütenhonig (Nektarhonig):12;Obst und Gemüse waschen und grob schneiden.<br>Alles mit Getränk oder Joghurt in einen Mixer geben.<br>Fein pürieren und bei Bedarf mit Wasser verdünnen.<br>Sofort gekühlt servieren.<br>Kalorien: ca. 380 kcal.;380
Smoothie - Mango-Kokos-Smoothie;Tropischer Smoothie mit Mango und Kokoswasser.;Mango roh:180|Banane roh:100|Kokoswasser (Fruchtwasser):180|Joghurt mild, mind. 3,5 % Fett:100|Limette roh:25;Obst und Gemüse waschen und grob schneiden.<br>Alles mit Getränk oder Joghurt in einen Mixer geben.<br>Fein pürieren und bei Bedarf mit Wasser verdünnen.<br>Sofort gekühlt servieren.<br>Kalorien: ca. 280 kcal.;280
Smoothie - Beeren-Hafer-Smoothie;Sättigender Smoothie mit Beeren und Haferflocken.;Himbeere roh:120|Heidelbeere roh:120|Hafer Flocken:35|Mandeldrink ungesüßt:220|Speisequark Magerstufe, Magerquark < 10 % Fett i. Tr.:100|Blütenhonig (Nektarhonig):10;Obst und Gemüse waschen und grob schneiden.<br>Alles mit Getränk oder Joghurt in einen Mixer geben.<br>Fein pürieren und bei Bedarf mit Wasser verdünnen.<br>Sofort gekühlt servieren.<br>Kalorien: ca. 400 kcal.;400
